Combinacao,d,Distribuicao,Serie,Teste,pvalor,Rejeicao
multiplicative1,0.0,LogNormal,ena,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.0,LogNormal,airline,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.0,LogNormal,carga,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.0,Gamma,ena,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.0,Gamma,airline,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.0,Gamma,carga,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.5,LogNormal,ena,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.5,LogNormal,airline,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.5,LogNormal,carga,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.5,Gamma,ena,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.5,Gamma,airline,Ljung Box,0.0,Rejeita H₀
multiplicative1,0.5,Gamma,carga,Ljung Box,0.0002,Rejeita H₀
multiplicative1,1.0,LogNormal,ena,Ljung Box,0.0,Rejeita H₀
multiplicative1,1.0,LogNormal,airline,Ljung Box,0.0,Rejeita H₀
multiplicative1,1.0,LogNormal,carga,Ljung Box,0.0,Rejeita H₀
multiplicative1,1.0,Gamma,ena,Ljung Box,0.0,Rejeita H₀
multiplicative1,1.0,Gamma,airline,Ljung Box,0.0,Rejeita H₀
multiplicative1,1.0,Gamma,carga,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.0,LogNormal,ena,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.0,LogNormal,airline,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.0,LogNormal,carga,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.0,Gamma,ena,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.0,Gamma,airline,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.0,Gamma,carga,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.5,LogNormal,ena,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.5,LogNormal,airline,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.5,LogNormal,carga,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.5,Gamma,ena,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.5,Gamma,airline,Ljung Box,0.0,Rejeita H₀
multiplicative2,0.5,Gamma,carga,Ljung Box,0.0045,Rejeita H₀
multiplicative2,1.0,LogNormal,ena,Ljung Box,0.0,Rejeita H₀
multiplicative2,1.0,LogNormal,airline,Ljung Box,0.0,Rejeita H₀
multiplicative2,1.0,LogNormal,carga,Ljung Box,0.0,Rejeita H₀
multiplicative2,1.0,Gamma,ena,Ljung Box,0.0,Rejeita H₀
multiplicative2,1.0,Gamma,airline,Ljung Box,0.0,Rejeita H₀
multiplicative2,1.0,Gamma,carga,Ljung Box,0.004,Rejeita H₀
