Combinacao,d,Distribuicao,Serie,MAPE Treino,MAPE Teste
multiplicative1,0.0,LogNormal,ena,0.01,58.4
multiplicative1,0.0,LogNormal,airline,0.06,33.29
multiplicative1,0.0,LogNormal,carga,0.03,13.33
multiplicative1,0.0,Gamma,ena,18.82,20.27
multiplicative1,0.0,Gamma,airline,0.22,65.52
multiplicative1,0.0,Gamma,carga,6.83,38.91
multiplicative1,0.5,LogNormal,ena,0.05,56.47
multiplicative1,0.5,LogNormal,airline,0.3,29.01
multiplicative1,0.5,LogNormal,carga,0.3,27.09
multiplicative1,0.5,Gamma,ena,5.97,88.07
multiplicative1,0.5,Gamma,airline,0.64,59.12
multiplicative1,0.5,Gamma,carga,12.66,25.92
multiplicative1,1.0,LogNormal,ena,0.19,47.44
multiplicative1,1.0,LogNormal,airline,2.59,59.66
multiplicative1,1.0,LogNormal,carga,0.01,10.04
multiplicative1,1.0,Gamma,ena,16.01,13.02
multiplicative1,1.0,Gamma,airline,0.01,35.96
multiplicative1,1.0,Gamma,carga,0.07,19.56
multiplicative2,0.0,LogNormal,ena,0.0,89.77
multiplicative2,0.0,LogNormal,airline,0.01,38.82
multiplicative2,0.0,LogNormal,carga,0.0,21.23
multiplicative2,0.0,Gamma,ena,1.14,93.04
multiplicative2,0.0,Gamma,airline,0.44,53.87
multiplicative2,0.0,Gamma,carga,0.75,36.54
multiplicative2,0.5,LogNormal,ena,10.8,24.49
multiplicative2,0.5,LogNormal,airline,0.19,30.35
multiplicative2,0.5,LogNormal,carga,0.01,14.81
multiplicative2,0.5,Gamma,ena,17.93,19.05
multiplicative2,0.5,Gamma,airline,2.73,57.44
multiplicative2,1.0,LogNormal,ena,10.81,24.27
multiplicative2,1.0,LogNormal,airline,0.01,29.68
multiplicative2,1.0,LogNormal,carga,0.05,14.47
multiplicative2,1.0,Gamma,ena,27.76,137.19
multiplicative2,1.0,Gamma,airline,4.33,73.79
